,place,date,category,place ,Tagline,Review 
0,Rendezvous-Mountain,May 2021,not available,"Athens, GA ",Surprisingly hard hike this time of year!,"Due to recent snow fall and melting snow streams, this hike was much more than we expected. We are not experts by any stretch, but lost the trail numerous times because of snow covering it. We had to cross lots of water and hike through very deep snow as we got higher. It took us four hours to get to the top and we were ever so thankful for a gondola ride back down."
1,Rendezvous-Mountain,Apr 2021,not available, ,Get the beginner pass if you're learning & save big,"Great opportunities for beginners with a gondola to the bunny hill, saving a newbie from the terror of the ski lift. The beginner hill has a magic carpet to get your footing before venturing out. Many of the magic carpet operators will offer tips to those learning too. The lift operators were amazing. Buy the beginner pass to the lower mountain & save big. Watch out though. The local travel agency, Jackson Hole Central Booking, won't tell you about this savings and will just charge for a regular pass. The regular pass to this mountain is extremely expensive. $177 the day we were there vs. $54. If you buy your lift tickets through Central Booking, they won't give you a refund within 7 days either. So you might be best off getting your lift ticket directly from the mountain if you're a beginner."
2,Rendezvous-Mountain,Dec 2020,not available,"Jonesboro, GA ",Winter 2020,Was not able to go to the top of the mountain due to Covid-19. At lunch at the Mange Moose and had a great burger.
3,Rendezvous-Mountain,Dec 2020,not available,"Austin, TX ","Advanced mountain, good for experienced skiers and snowboarders","Had a great time skiing here this weekend. Staff was friendly, everyone was wearing masks and obeying the Covid protocols. Glad we didn't bring the kids because there were very few green runs for beginners. Excellent for my husband and I - even had some fresh snow on day 2! Will definitely be back!"
4,Rendezvous-Mountain,Sep 2020,not available, ,Impressive,"This area and the views are impressive, no matter who you are and where you have been before. Good place to see."
5,Rendezvous-Mountain,Sep 2020 , Couples, ,Hiked from Gondola,Great views. Tram closed in 2020. Rode gondola and hiked up Rendezvous Peak. Strenuous hike. You can take road for a less extreme incline. Went slow. Spent 5 hours. Took a picnic lunch we enjoyed on the deck at the closed Corbett’s Cabin.
6,Rendezvous-Mountain,Sep 2020,not available,"Oceanside, CA ","OMG - FANTASTIC VACAY RENTAL, OUTSTANDINGLY GREAT EXPERIENCE!!! THUMBS UP ALL THE WAY!!!","EXCEEDED OUR EXPECTATIONS! Way above and beyond what we imagined. Absolutely wonderful location, amenities galore in our unit, C#3 Nez Perce and RM Vacay Rental Co left us a nice welcome package of hand sanitizer, mask and other goodies. I don't ever want to stay in a hotel again...they've spoiled our lodging expectations and now it's RM all the way when we go to Jackson which is usually at least once a year. RM made the experience easy, happy and user friendly. Way to go RM Rentals...super WELL DONE!"
7,Rendezvous-Mountain,Aug 2020,not available, ,Beautful views from gondola!,"In summer, gondola is free after 5pm on certain nights of the week. We were staying at Teton Village, but this mountain has cool hiking and views - lots of mountain bikers too, so you have to watch out."
8,Rendezvous-Mountain,Jul 2020,not available,"Houston, TX ",Great Views!,"We rode the Bridger Gondola up as the aerial tram is closed for maintenance this summer. You can save $7 by buying tickets on line in advance. Or ride after 5:00 p.m. when its free. The views are spectacular from the top. There are a couple of restaurants where you can pick up something to eat or have a drink. The Deck at Piste is a great spot to chill and take in the view while having a drink on the outdoor patio. The Piste Mountain Bistro offers table service dinner. We didn't dine at either, but its worth checking out. We did some hiking on the trails near the top which provided some stunning views. The air is thin, so beware if you're out of shape."
9,Rendezvous-Mountain,Jan 2020,not available, ,Great place to ski!,Loved all of Jackson Hole. Wish I had the stamina of my youth and could do the Black Diamonds without breathing hard.
10,Rendezvous-Mountain,Jan 2020 , Friends,"South Australia, Australia ",Definitely not just for skiers! Unbelievable views! Do it!,"Skiing from the top of the tramway at Jackson Hole Resort is not for faint hearted & they say as you step off, that you definitely need to be experienced to tackle it. However, we did not go for that! We wanted the awe inspiring view. So we chose a clear day. We were lucky there was an ‘inversion’ - warmer on the mountain top than in the valley. We bought return tickets (roughly $35) and joined the queue for the tram with a myriad of eager skiers. The tram takes around 100 people jammed into the carriage. The trip up therefore was cramped but rapid. At the top, the skiers dispersed quickly. We had plenty of freedom between trams to take in the amazing views...as spectacular as I’ve seen anywhere in the world, including Switzerland and Scandinavia! There is a small cafe where you can get a snack eg waffles and Irish coffee! There is a deck to stand outside if you wish - seating is limited. The return trip only had about 8 people in the tram, so we delighted in clicking away with our cameras again! The views from the summit are unparalleled though and I’d definitely suggest this is a must do activity in Jackson. It certainly gave perspective to everything else we saw."
11,Rendezvous-Mountain,Dec 2019,not available, ,Awesome Trip,"Love this area, great skiing, cute town, and wonderful public transportation. It is a tough mountain to ski, so it might be too much for beginner skiers."
12,Rendezvous-Mountain,Oct 2019,not available,"Clarence, NY ",Try the Wonderful Waffles in the Small Restaurant at the Summit!,"Take the tram to the top of Rendezvous Mountain at the Teton Village ... a ""must do"" while visiting the Jackson Hole area any time of year. The view is spectacular. And for those of us who aren't skiers, the thought of skiing down the mountain is terrifying! Try the great waffles .. they are delicious."
13,Rendezvous-Mountain,Sep 2019,not available,"South Lake Tahoe, CA, ",GREAT VIEWS,"We choose the Gondola, but you can also take the Tram...both leave from Jackson Hole Teton Village Lodge area...or you can climb up...."
14,Rendezvous-Mountain,Sep 2019,not available,"Cape Girardeau, MO ",Great views,A huge tram takes you to the top ($31 senior). The 360 degree view is spectacular. From there you can walk down by the treacherous 3-miles long Cirque trail to the gondola. From there you can take the gondola to the parking lot. Be very careful or else you could tumble down to deep ravines.
15,Rendezvous-Mountain,Sep 2019,not available,"Arlington Heights, IL ",Amazing Views,"We took the tram up on our last day in Jackson Hole. It's worth the trip up there - fantastic views of the valley and the Tetons! Definitely grab a waffle from Corbet's as well. They are delicious and the staff up there are great! We did not have enough time to hike around, but I'm sure that would be beautiful as well."
16,Rendezvous-Mountain,Aug 2019,not available, ,Beautiful view of Grand Tetons!,"Gorgeous ride up on the ariel tram. Go ahead and have a waffle at Corbets. You won,t be sorry. Beautiful at the top as well. There are many trails to choose from if you are an avid hiker. However, I am from Ilinois and the altitude of 10,000 feet takes some getting used to. I would recommend."
17,Rendezvous-Mountain,Aug 2019,not available,"Philadelphia, PA ",Great Summer Hike from the Summit,"My girlfriend and I took the tram up to the summit on a warm August day, which was a fun experience in and of itself. 43 degrees at the top, even in August, so bring a sweatshirt. The summit is a worthwhile experience with incredible views of the valley and other peaks. We took the Cirque Trail to the Wildflower trail all the way down to the tram starting point, 7.2 miles of switchbacks, wildflowers and amazing views all the way down. You can make a pit stop at the gondola station, rest, refuel, and use the bathrooms. There's a swing attached to one of the trees on the way down which made for a nice break and photo op. Trails are well marked, so it's good for beginner or novice hikers. Obviously pack plenty of water, oxygen boosters (if you're not used to the altitude,) and comfortable hiking shoes. Don't kid yourself, coming down from 10,000+ feet has it's own unique challenges. If you're like us, you'll be worn out and starving by the time you reach the bottom. Great, memorable hike. Definitely coming back to Teton Village."
18,Rendezvous-Mountain,Aug 2019,not available, ,Great Views,"Took the tram up. It is absolutely breathtaking from up here Would definitely recommend the trip, and consider getting the waffles while you are up there."
19,Rendezvous-Mountain,Jul 2019,not available,"Oviedo, FL ",Cool place,"We took the tram up and has waffles at the resturant on top. We explored the area, did shrt hikes. We took some outsiding photos. It is worth the trip up and down, you may see some wldlife, we did."
20,Rendezvous-Mountain,Aug 2019,not available, ,Beautiful views.,"We spent an afternoon at Teton Village and rode the tram to the top of Rendezvous Mountain. It’s about a 10 minute ride up and has incredible views! The operators are knowledgeable and happy to answer questions. Be prepared for wind and cool temps at the top even in August. We took our time, did the whole ‘eat a waffle at the top’ thing, and completely enjoyed ourselves. The trams runs every 15 minutes so getting back down was easy once we were ready to leave. We were here in August so there weren’t the kinds of crowds seen in winter months."
21,Rendezvous-Mountain,Jul 2019,not available,"Convoy, OH ",Beautiful Views!,"I loved this. Our tram guide back down was super cool and informative. The tram ride to the top wasn't too long, and beautiful. We took a lot of pictures, took a path, and of course ate waffles. I could've done without the waffles, but it was an experience. The wrist band was also good for the gondola, so we did that too while there. We didn't do anything but quickly look around there because out youngest was too small for the rock climbing, but the ride was still cool."
