,place,date,category,place ,Tagline,Review 
0,Jackson-Hole-Aerial-Tram,Jan 2022,not available, ,No sight-seeing in winter - ski lift only,"The gondola ride to the top of the mountain does not have a 'sight seeing' ticket during the winter months. The company wants you to pay the 200.00 daily rate for lift tickets, skier or not. This is not explained anywhere if you have scheduled reservations at the mountaintop restaurant."
1,Jackson-Hole-Aerial-Tram,Oct 2021,not available,"New York City, NY ",Great experience and views,Fun afternoon taking the tram to the top of the mountain-nice place to sit when you reach the top to enjoy the beauty of Jackson Hole.
2,Jackson-Hole-Aerial-Tram,Sep 2021 , Couples,"Jacksonville, FL ","Great Ride, Beautiful Views","Took the tram to the top and loved seeing the changing fall leaves on the mountain! It was not crowded so we didn’t have to wait in a line. Unfortunately, the season for this tram is nearing an end but they do have other lifts up the mountain which should be running soon. A little cafe is located at the top, so we grabbed a beer and sat outside and drank in the scenery! Book on line to save money!"
3,Jackson-Hole-Aerial-Tram,Aug 2021,not available,Indianapolis ,Great Pace for a Photo!,The tram rice is a bit expensive but the scenery from the top is worth the price of admission! There is a nice place to sit and view the town and mountains at the peak. Even with a bit of smoke haze it was still beautiful.
4,Jackson-Hole-Aerial-Tram,Aug 2021,not available,"Dallas, TX ",Once,"Expansive ride, there are 3 lines open at the time. 2 are gondolas, the other open is an open ski lift. Plenty of mountain bikers. $45 ticket, ideally, u can rider repeated all day. Took the one ride to the top of the mountain, view is nice. No sure if we would do it again"
5,Jackson-Hole-Aerial-Tram,Aug 2021,not available, ,Gondola,The views were breathtaking! especially on top ! we walked around bought a brink and sat up there for about an hour just taking in the views !
6,Jackson-Hole-Aerial-Tram,Aug 2021 , Friends,"Denver, CO ",Drove 30 minutes for nothing,The ticket taker was incredibly rude. I have been on the gondola ride numerous times but today $ 45.00 per person not free. It is beautiful at the top and was one of my favorite things to do. A great cocktail and food.
7,Jackson-Hole-Aerial-Tram,Jul 2021,not available,"Knoxville, TN ",view is divine,we took the tram to the top of the mountain one day & loved the view...it was still somewhat smoky from a close fire...but the ride & lunch was fun!
8,Jackson-Hole-Aerial-Tram,Jun 2021,not available,"Grand Rapids, MI ",Great views...expensive ride,"The view is fantastic but it cost us also $90 to appreciate it. They need to provide for a discount if you have lunch up there which we did. Between the cost of the gondola ride and expensive food, the totals was more than having dinner at an great restaurant."
9,Jackson-Hole-Aerial-Tram,Jun 2021,not available, ,Amazing views!!,Views were breathtaking and waffles at the top was amazing. The main tram was closed for maintenance but the smaller one was just as fun! TIP: if you buy tickets online you get a discount verses buying at the ticket window.
10,Jackson-Hole-Aerial-Tram,Mar 2021,not available,"Denver, CO ",Amazing views from the top!,"Tram ride was great and incredible views from the top. Unfortunately with COVID putting tram capacity at 25%, there was an hour wait both times we took it. No way to help this though and glad they are taking safety precautions."
11,Jackson-Hole-Aerial-Tram,Jun 2020,not available,"Nashville, TN ",Great Views,"I took the tram up to the top of the mountain. It offers amazing views of Jackson Hole and the mountains surrounding it. I visited in June early in the morning b/c I had to drive back to Yellowstone, not too many people were around and no lines in getting on/off tram."
12,Jackson-Hole-Aerial-Tram,Sep 2020,not available,"Valparaiso, IN, ",Go to the top of the mountain,The ride up the mountain was smooth and easy. The top of the mountain was fantastic. you get amazing views. There are some trails you can walk up to higher on the mountain and don't need any special kit for. There is a lovely restaurant and restrooms. The patio area was fantastic.
13,Jackson-Hole-Aerial-Tram,Sep 2020 , Family,"Lafayette, IN ",A must do,"My family visited the tram this week. With ages varying from 13-63 we all enjoyed ourselves. There was virtually no wait for the tram, they were clean, we felt safe and the views were great. We did some hiking once we reached the top as well. The cafe offered amazing smelling waffles but we had just eaten so we did not partake. We were hoping to have a cocktail but the selection was very limited. We purchased our tickets on line ahead of time."
14,Jackson-Hole-Aerial-Tram,Sep 2020 , Couples,"Plant City, FL, ","Gorgeous, especially after 5 for free!",Loved the scenery and the Deck at the top. So fun to walk around the mountain too for a bit. Fabulous photo opportunities!
15,Jackson-Hole-Aerial-Tram,Sep 2020 , Couples, ,Tram,"1st time riding up on a tram. The views were amazing. The store at the top had some great choices. Wine, coffee, pizza, cookies etc."
16,Jackson-Hole-Aerial-Tram,Sep 2020 , Couples, ,Beautiful views!,A must do for your trip to Jackson Hole! Views are amazing and little cafe at the top sold yummy snacks and cappuccino. Fun for all ages.
17,Jackson-Hole-Aerial-Tram,Sep 2020,not available,"North Salt Lake, UT ","""What A View!""","The tram is open! We got a family pass ($99) which was the cheapest price. That gave us unlimited rides up/down. Free rides start at 5pm, but we arrived at 10:30. Smooth quick, scenic ride up and a fantastic view. The restaurant is grab & go now - waffles, pizza, ready-made sandwiches along with drinks including beer & wine. We just ate outside taking in the sun and view. There's lots of activities to partake in - hiking, biking, shopping, etc. Teton Village area is worth a visit!"
18,Jackson-Hole-Aerial-Tram,Aug 2020,not available,"Midland, TX ",Get on this ride!,"I remember when they put the tram in, and it changed the whole mountain. This is reserved for the best snow days!!! I love coming back here!"
19,Jackson-Hole-Aerial-Tram,Aug 2020,not available,"Louisville, KY ",Great Scenery,The trip up is worth it. You can sit up there and have lunch or drinks and just relax. Breath taking views.
